kategoria_bdot,funkcja_ogolna_budynku,funkcja_szczegolowa_budynku,building,amenity,man_made,leisure,historic,tourism
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,elektrociepłownia,industrial,,,,,
budynki przemysłowe,budynki przemysłowe,siedziba firmy lub firm,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,klinika weterynaryjna,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,toaleta publiczna,yes,,,,,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,hotel,hotel,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,bacówka,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,młyn,yes,,,,,
budynki garaży,garaże,apteka,yes,,,,,
budynki biurowe,budynki biurowe,bank,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,archiwum,yes,,,,,
