kategoria_bdot,funkcja_ogolna_budynku,funkcja_szczegolowa_budynku,building,amenity,man_made,leisure,historic,tourism
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,placówka operatora pocztowego,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,pensjonat,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,galeria sztuki,yes,,,,,
budynki przemysłowe,budynki przemysłowe,parking wielopoziomowy,parking,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,dom wypoczynkowy,yes,,,,,guest_house
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,hotel,hotel,,,,,
budynki biurowe,budynki biurowe,placówka operatora pocztowego,yes,,,,,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,dom wypoczynkowy,yes,,,,,guest_house
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,muzeum,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,"klub, dyskoteka",yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,hangar,hangar,,,,,
budynki biurowe,budynki biurowe,prokuratura,yes,,,,,
budynki biurowe,budynki biurowe,dom dla bezdomnych,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,stajnia,stable,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,dworzec autobusowy,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,magazyn,warehouse,,,,,
budynki biurowe,budynki biurowe,dom weselny,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,dom letniskowy,yes,,,,,
budynki garaży,garaże,budynek jednorodzinny,garage,,,,,
budynki przemysłowe,budynki przemysłowe,lokomotywownia lub wagonownia,yes,,,,,
budynki o dwóch mieszkaniach,budynki o dwóch mieszkaniach,budynek jednorodzinny,house,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,straż pożarna,fire_station,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",budynek jednorodzinny,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,pawilon handlowo-usługowy,retail,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,szklarnia lub cieplarnia,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,dom opieki społecznej,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,zakład karny,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",garaż,garage,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,budynek o dwóch mieszkaniach,house,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,hala targowa,retail,,,,,
budynki biurowe,budynki biurowe,rezydencja biskupia,yes,,,,,
